coin,otto-trivial,trivial,trivial-completed
42,1,1,1
AC,1,,1
ACOIN,1,1,1
AGS,1,,1
ALF,1,1,1
ALN,1,,1
AMC,1,1,1
ANC,0,1,1
APEX,1,,1
ARCH,1,,1
ARG,1,1,1
ARI,1,,1
AUR,1,1,1
AXR,1,1,1
BCX,1,,1
BEN,1,1,1
BET,1,1,1
BITB,1,1,1
BLK,1,,1
BLU,1,,1
BNCR,,,1
BOST,1,,1
BQC,1,1,1
BTB,0,,1
BTCD,0,1,1
BTE,1,1,1
BTG,1,1,1
BTM,1,,1
BUK,1,,1
CACH,1,1,1
CAIx,1,,1
CANN,1,,1
CAP,0,0,0
CASH,1,,1
CAT,1,1,1
CBX,1,,1
CCN,1,1,1
CIN,1,1,1
CINNI,1,,1
CKC,1,,1
CLAM,1,,1
CLOAK,1,,1
CLR,1,0,0
CMC,1,0,0
CNC,1,1,1
CNL,1,,1
COMM,1,,1
COOL,1,,1
CRACK,1,,1
CRAIG,0,,1
CRC,1,1,1
CRYPT,1,,1
CSC,1,1,1
DASH,0,0,0
DEM,1,,1
DGB,1,,1
DGC,1,1,1
DMD,1,0,0
DOGE,1,0,0
DOGED,1,,1
DRKC,1,,1
DSB,1,,1
DT,1,,1
DVC,1,0,0
EAC,1,,1
EFL,1,,1
ELC,1,1,1
EMC2,1,1,1
EMD,1,1,1
EXCL,1,1,1
EXE,1,1,1
EZC,1,1,1
FC2,1,,1
FFC,1,,1
FIBRE,0,,1
FLT,1,1,1
FRAC,0,1,1
FRC,1,0,0
FRK,1,1,1
FST,1,1,1
FTC,1,0,0
GB,1,1,1
GDC,1,1,1
GLC,1,1,1
GLD,1,1,1
GLX,1,1,1
GLYPH,1,,1
GML,1,,1
GUE,1,1,1
HAL,1,,1
HBN,1,1,1
HUC,1,1,1
HVC,0,,1
HYP,1,,1
ICB,1,,1
IFC,1,1,1
IOC,1,,1
IXC,1,0,0
JBS,1,,1
JKC,1,0,0
JUDGE,1,,1
KDC,1,,1
KEY,0,,1
KGC,1,1,1
LAB,1,,1
LGD,1,,1
LK7,1,1,1
LKY,1,0,0
LSD,1,,1
LTB,1,1,1
LTC,0,0,0
LTCD,1,1,1
LTCX,1,1,1
LXC,0,,1
LYC,1,1,1
MAX,1,1,1
MEC,1,0,0
MED,0,,1
MIN,1,1,1
MINT,1,1,1
MN,,,1
MNC,1,0,0
MNE,1,,1
MRY,1,,1
MYR,0,1,1
MYST,1,,1
MZC,1,1,1
NAN,1,1,1
NAUT,1,,1
NAV,1,,1
NBL,1,1,1
NEC,1,1,1
NET,1,1,1
NMB,1,1,1
NMC,1,1,1
NOBL,1,1,1
NRB,1,1,1
NRS,1,,1
NVC,1,0,0
NXT,0,0,0
NYAN,1,1,1
OPAL,1,,1
ORB,1,,1
OSC,1,,1
PHS,1,1,1
POT,1,,1
PPC,0,0,0
PSEUD,1,,1
PTS,0,,1
PXC,1,1,1
PYC,1,1,1
QRK,1,0,0
RDD,0,1,1
RIPO,1,,1
RPC,1,,1
RT2,1,,1
RYC,1,0,0
RZR,0,,1
SAT2,1,,1
SBC,1,1,1
SDC,1,,1
SFR,1,,1
SHADE,1,1,1
SHLD,1,,1
SILK,1,,1
SLG,1,,1
SMC,1,0,0
SOLE,0,1,1
SPA,1,,1
SPT,1,0,0
SRC,1,1,1
SSV,1,,1
STR,1,0,0
SUPER,1,,1
SWIFT,1,,1
SXC,1,1,1
SYNC,1,1,1
SYS,1,1,1
TAG,1,1,1
TAK,1,1,1
TEK,0,1,1
TES,1,,1
TGC,1,1,1
TIT,1,,1
TOR,0,,1
TRC,1,1,1
TTC,1,,1
ULTC,1,,1
UNB,1,,1
UNO,1,0,0
URO,1,,1
USDe,1,,1
UTC,1,,1
UTIL,1,,1
VDO,1,1,1
VIA,1,,1
VOOT,1,1,1
VRC,1,,1
VTC,0,0,0
WC,,,1
WDC,1,0,0
XAI,1,,1
XBOT,1,1,1
XC,1,,1
XCASH,1,,1
XCR,1,1,1
XJO,1,,1
XLB,1,,1
XPM,0,0,0
XRP,1,0,0
XST,0,,1
XXX,1,1,1
YAC,0,0,0
ZCC,1,1,1
ZED,1,1,1
ZET,1,0,0
ZRC,1,,1
